Timestamp | Error Message
2025-11-08 23:42:30.990442 | [ERROR] Order for WHA (Vol: 100, Price: 3.74, Side: Sell) skipped due to Cannot sell WHA as it is not in the portfolio or insufficient volume.
2025-11-08 23:42:32.722927 | [ERROR] Order for VGI (Vol: 100, Price: 1.9, Side: Sell) skipped due to Cannot sell VGI as it is not in the portfolio or insufficient volume.
2025-11-08 23:42:36.661584 | [ERROR] Order for CBG (Vol: 100, Price: 57.25, Side: Sell) skipped due to Cannot sell CBG as it is not in the portfolio or insufficient volume.
2025-11-08 23:42:40.745196 | [ERROR] Order for BANPU (Vol: 100, Price: 4.86, Side: Sell) skipped due to Cannot sell BANPU as it is not in the portfolio or insufficient volume.
2025-11-08 23:42:49.276201 | [ERROR] Order for IVL (Vol: 100, Price: 23.0, Side: Sell) skipped due to Cannot sell IVL as it is not in the portfolio or insufficient volume.
2025-11-08 23:42:51.830949 | [ERROR] Order for TU (Vol: 100, Price: 12.4, Side: Sell) skipped due to Cannot sell TU as it is not in the portfolio or insufficient volume.
2025-11-08 23:42:57.688452 | [ERROR] Order for OR (Vol: 100, Price: 13.9, Side: Sell) skipped due to Cannot sell OR as it is not in the portfolio or insufficient volume.
2025-11-08 23:42:59.083480 | [ERROR] Order for BANPU (Vol: 100, Price: 4.84, Side: Sell) skipped due to Cannot sell BANPU as it is not in the portfolio or insufficient volume.
2025-11-08 23:43:17.555775 | [ERROR] Order for CPN (Vol: 100, Price: 56.75, Side: Sell) skipped due to Cannot sell CPN as it is not in the portfolio or insufficient volume.
2025-11-08 23:43:23.616615 | [ERROR] Order for PTT (Vol: 100, Price: 33.0, Side: Sell) skipped due to Cannot sell PTT as it is not in the portfolio or insufficient volume.
2025-11-08 23:43:24.259731 | [ERROR] Order for COM7 (Vol: 100, Price: 25.0, Side: Sell) skipped due to Cannot sell COM7 as it is not in the portfolio or insufficient volume.
2025-11-08 23:43:42.606910 | [ERROR] Order for CPALL (Vol: 100, Price: 48.5, Side: Sell) skipped due to Cannot sell CPALL as it is not in the portfolio or insufficient volume.
2025-11-08 23:43:54.753968 | [ERROR] Order for TISCO (Vol: 100, Price: 101.5, Side: Sell) skipped due to Cannot sell TISCO as it is not in the portfolio or insufficient volume.
2025-11-08 23:44:00.136082 | [ERROR] Order for BH (Vol: 100, Price: 181.5, Side: Sell) skipped due to Cannot sell BH as it is not in the portfolio or insufficient volume.
2025-11-08 23:44:19.408504 | [ERROR] Order for KTB (Vol: 100, Price: 25.5, Side: Sell) skipped due to Cannot sell KTB as it is not in the portfolio or insufficient volume.
2025-11-08 23:45:10.633781 | [ERROR] Order for AOT (Vol: 100, Price: 39.25, Side: Sell) skipped due to Cannot sell AOT as it is not in the portfolio or insufficient volume.
2025-11-08 23:45:20.246335 | [ERROR] Order for TIDLOR (Vol: 100, Price: 20.3, Side: Sell) skipped due to Cannot sell TIDLOR as it is not in the portfolio or insufficient volume.
2025-11-08 23:45:32.062124 | [ERROR] Order for BDMS (Vol: 100, Price: 20.9, Side: Sell) skipped due to Cannot sell BDMS as it is not in the portfolio or insufficient volume.
